"Bcurrentlosestreak","Bcurrentwinstreak","Blongestwinstreak","Blosses","Btotalroundsfought","Btotaltitlebouts","BwinbyDecisionMajority","BwinbyDecisionSplit","BwinbyDecisionUnanimous","BwinbyKOTKO","BwinbySubmission","BwinbyTKODoctorStoppage","Bwins","BHeightcms","BReachcms","BWeightlbs","Bage"
1,0,3,7,32,0,0,1,2,3,3,0,9,187.96,195.58,170,35
2,0,0,2,6,0,0,0,0,0,0,0,0,180.34,177.8,155,32
1,0,2,3,8,0,0,0,0,3,1,0,4,185.42,190.5,253,33
0,2,3,3,19,0,0,0,1,5,0,0,6,193.04,193.04,205,30
2,0,2,4,20,1,0,0,2,0,0,0,2,175.26,165.1,145,32
1,0,3,5,25,0,0,1,3,2,0,0,6,187.96,193.04,205,37
0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,177.8,135,32
2,0,3,10,44,1,0,1,2,3,4,0,10,185.42,195.58,205,38
2,0,3,6,36,1,0,1,4,0,2,0,7,180.34,190.5,170,33
1,0,3,3,23,0,0,2,2,1,1,0,6,185.42,193.04,170,27
0,1,1,1,6,0,0,0,1,0,0,0,1,177.8,182.88,155,23
0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,172.72,145,26
0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,182.88,155,27
1,0,1,1,4,0,0,0,0,0,1,0,1,190.5,190.5,249,26
1,0,1,1,6,0,0,1,0,0,0,0,1,182.88,185.42,155,26
0,2,7,1,20,3,1,0,1,7,0,0,9,175.26,187.96,155,30
0,1,5,6,36,4,0,1,1,2,4,0,8,177.8,182.88,170,31
0,2,2,0,2,0,0,0,0,1,1,0,2,193.04,195.58,205,28
0,4,4,0,13,0,0,1,1,2,0,0,4,200.66,203.2,250,29
1,0,4,2,18,0,0,1,2,0,2,0,5,162.56,165.1,115,34
0,2,3,4,26,0,0,0,4,0,3,0,7,165.1,170.18,125,33
0,0,0,0,0,0,0,0,0,0,0,0,0,190.5,195.58,155,23
1,0,0,1,3,1,0,0,0,0,0,0,0,170.18,177.8,135,37
0,3,3,1,15,0,0,0,4,1,0,0,5,180.34,187.96,155,35
1,0,0,1,1,1,0,0,0,0,0,0,0,167.64,172.72,135,28
1,0,4,8,54,0,0,2,6,2,2,0,12,172.72,172.72,155,34
0,1,3,4,23,0,0,0,3,0,2,0,5,182.88,185.42,170,28
0,1,2,1,12,0,0,0,1,2,0,0,3,185.42,190.5,185,31
0,1,1,0,3,0,0,1,0,0,0,0,1,180.34,190.5,170,25
1,0,2,5,22,0,0,1,1,3,0,0,5,187.96,190.5,205,42
0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,190.5,135,30
1,0,1,2,5,0,0,0,0,0,1,0,1,177.8,180.34,155,28
2,0,4,8,47,0,0,3,5,1,1,1,11,177.8,177.8,155,36
0,0,0,0,0,0,0,0,0,0,0,0,0,195.58,200.66,205,27
2,0,2,4,14,0,0,0,1,1,0,0,2,193.04,198.12,250,28
0,1,3,6,30,0,0,1,2,3,3,0,9,187.96,195.58,170,35
