"Winner","B_current_lose_streak","B_current_win_streak","B_longest_win_streak","B_losses","B_total_rounds_fought","B_total_title_bouts","B_win_by_Decision_Majority","B_win_by_Decision_Split","B_win_by_Decision_Unanimous","B_win_by_KO_TKO","B_win_by_Submission","B_win_by_TKO_Doctor_Stoppage","B_wins","B_Height_cms","B_Reach_cms","B_Weight_lbs","B_age","B_Stance_Open_Stance","B_Stance_Orthodox","B_Stance_Southpaw","B_Stance_Switch","R_current_lose_streak","R_current_win_streak","R_longest_win_streak","R_losses","R_total_rounds_fought","R_total_title_bouts","R_win_by_Decision_Majority","R_win_by_Decision_Split","R_win_by_Decision_Unanimous","R_win_by_KO_TKO","R_win_by_Submission","R_win_by_TKO_Doctor_Stoppage","R_wins","R_Height_cms","R_Reach_cms","R_Weight_lbs","R_age","R_Stance_Open_Stance","R_Stance_Orthodox","R_Stance_Southpaw","R_Stance_Switch"
"Blue",0,1,1,0,3,0,0,0,0,1,0,0,1,190.5,195.58,265,27,0,1,0,0,3,0,7,12,59,5,0,1,4,9,2,0,16,190.5,195.58,240,40,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,182.88,155,26,0,1,0,0,0,1,3,3,22,0,0,0,2,2,3,0,7,177.8,180.34,155,32,0,1,0,0
"Red",1,0,1,2,4,0,0,0,0,0,1,0,1,187.96,187.96,155,29,0,0,1,0,1,0,7,13,71,0,0,2,6,3,7,0,18,172.72,180.34,155,35,0,0,1,0
"Red",2,0,0,2,6,0,0,0,0,0,0,0,0,154.94,162.56,115,32,0,1,0,0,2,0,1,6,23,0,0,0,3,0,0,0,3,160.02,162.56,115,34,0,1,0,0
"Blue",0,1,1,5,12,2,0,0,1,1,0,0,2,187.96,187.96,170,30,0,1,0,0,0,1,3,6,39,1,0,1,5,0,2,0,8,180.34,190.5,170,34,0,1,0,0
"Red",0,2,2,2,12,0,0,0,0,1,5,0,6,187.96,203.2,240,41,0,1,0,0,0,1,4,6,29,1,1,0,2,6,0,0,9,193.04,203.2,265,38,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,182.88,155,22,0,1,0,0,0,4,4,1,11,0,0,0,2,1,2,0,5,177.8,177.8,155,27,0,1,0,0
"Red",2,0,1,2,7,0,0,0,0,0,1,0,1,190.5,190.5,249,26,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,190.5,213.36,257,26,0,0,1,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,187.96,185,31,0,1,0,0,3,0,5,4,26,0,0,1,4,1,0,0,6,185.42,195.58,185,29,0,0,1,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,187.96,145,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,182.88,145,25,0,1,0,0
"Red",0,1,1,6,29,0,0,2,0,0,2,0,4,180.34,185.42,170,34,0,0,1,0,1,0,1,2,6,0,0,1,0,0,0,0,1,180.34,187.96,170,34,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,185.42,155,23,0,1,0,0,2,0,2,4,15,0,0,0,1,1,0,0,2,190.5,187.96,155,34,0,0,1,0
"Blue",0,2,2,2,15,0,0,1,2,1,0,0,4,190.5,193.04,235,37,0,1,0,0,0,1,3,3,22,0,0,0,2,2,0,0,4,190.5,198.12,249,33,0,1,0,0
"Blue",0,1,1,1,4,0,0,0,0,1,0,0,1,182.88,187.96,205,24,0,0,1,0,1,0,2,1,3,0,0,0,0,0,2,0,2,180.34,177.8,205,32,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,180.34,155,26,0,0,0,1,1,0,2,1,5,0,0,0,0,1,0,1,2,172.72,180.34,155,30,0,1,0,0
"Blue",0,3,4,5,45,0,1,0,4,8,3,0,16,175.26,182.88,155,30,0,0,1,0,0,13,13,3,50,4,0,1,4,8,2,1,16,180.34,175.26,155,27,0,1,0,0
"Blue",0,5,5,0,14,0,0,1,2,2,0,0,5,193.04,203.2,185,29,0,0,0,1,0,2,5,4,35,1,0,3,2,3,2,0,10,175.26,180.34,185,27,0,0,1,0
"Blue",1,0,2,4,11,1,0,0,0,3,0,0,3,185.42,193.04,205,29,0,0,1,0,2,0,2,3,18,0,0,0,1,2,0,0,3,185.42,190.5,185,31,0,0,1,0
"Blue",0,1,1,1,4,0,0,0,0,1,0,0,1,185.42,193.04,170,34,0,0,0,1,0,1,3,4,21,0,0,0,3,4,0,0,7,182.88,185.42,170,37,0,0,1,0
"Blue",2,0,5,4,15,0,0,0,0,3,3,0,6,190.5,195.58,205,27,0,1,0,0,1,0,4,7,41,1,1,0,1,5,4,0,11,190.5,203.2,205,36,0,0,1,0
"Blue",2,0,0,2,4,0,0,0,0,0,0,0,0,175.26,180.34,155,28,0,1,0,0,0,1,1,1,2,0,0,0,0,1,0,0,1,190.5,195.58,155,23,0,0,1,0
"Blue",0,2,2,1,13,0,0,1,1,0,2,0,4,165.1,170.18,125,28,0,1,0,0,0,1,3,5,31,1,0,0,5,0,2,0,7,162.56,165.1,125,34,0,0,1,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,193.04,170,24,0,1,0,0,2,0,1,4,16,0,0,0,1,1,0,0,2,180.34,193.04,170,33,0,1,0,0
"Blue",1,0,0,1,3,0,0,0,0,0,0,0,0,165.1,175.26,135,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,175.26,135,28,0,0,1,0
"Blue",1,0,4,3,22,0,0,1,3,1,0,0,5,180.34,182.88,170,30,0,1,0,0,1,0,3,1,9,0,0,0,2,1,0,0,3,187.96,193.04,170,31,0,1,0,0
"Red",0,1,1,3,14,0,0,0,1,1,0,0,2,175.26,177.8,135,30,0,1,0,0,0,1,1,1,4,0,0,0,0,0,1,0,1,177.8,190.5,135,26,0,0,1,0
"Blue",1,0,2,1,5,0,0,0,1,1,0,0,2,172.72,170.18,115,30,0,1,0,0,1,0,1,1,4,0,0,0,1,0,0,0,1,165.1,170.18,125,27,0,1,0,0
"Red",0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,185.42,135,24,0,0,0,1,2,0,1,3,11,0,0,0,1,0,0,0,1,177.8,182.88,135,28,0,1,0,0
"Blue",0,1,1,2,10,0,0,0,0,2,0,0,2,180.34,177.8,155,30,0,1,0,0,0,1,4,6,51,0,1,1,5,7,0,0,14,180.34,190.5,155,33,0,1,0,0
"Blue",0,2,2,2,12,0,0,0,1,3,1,0,5,185.42,195.58,185,30,0,1,0,0,1,0,2,4,19,0,0,1,2,1,0,0,4,185.42,198.12,185,37,0,1,0,0
"Red",0,2,4,9,50,1,0,1,6,4,0,0,11,177.8,185.42,145,32,0,0,1,0,1,0,2,2,15,0,0,1,2,1,0,0,4,167.64,177.8,145,34,0,1,0,0
"Blue",0,2,2,2,15,0,0,1,1,0,2,0,4,160.02,157.48,115,33,0,1,0,0,1,0,3,3,22,1,0,2,3,0,0,0,5,160.02,162.56,115,33,0,1,0,0
"Red",0,2,2,1,9,0,0,1,1,0,0,0,2,172.72,182.88,145,28,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,175.26,180.34,145,25,0,1,0,0
"Red",1,0,1,3,10,0,0,0,1,0,0,0,1,160.02,160.02,115,36,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,167.64,165.1,115,31,0,1,0,0
"Blue",1,0,1,3,15,0,0,1,1,0,0,0,2,177.8,185.42,155,29,0,0,1,0,1,0,3,13,65,1,0,2,5,4,0,1,12,172.72,175.26,155,34,0,1,0,0
"Red",1,0,2,2,9,0,0,0,0,1,3,0,4,185.42,195.58,185,31,0,0,1,0,0,1,1,1,6,0,0,0,0,0,1,0,1,190.5,205.74,185,26,0,1,0,0
"Blue",0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,172.72,135,28,0,0,1,0,1,0,3,3,24,1,0,0,3,0,2,0,5,162.56,160.02,135,25,0,1,0,0
"Blue",1,0,2,2,13,0,0,1,1,0,1,0,3,170.18,170.18,125,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.18,177.8,125,22,0,1,0,0
"Red",0,2,2,1,7,0,0,1,0,0,1,0,2,167.64,165.1,135,24,0,1,0,0,1,0,3,1,7,0,0,0,1,1,1,0,3,167.64,165.1,135,27,0,1,0,0
"Blue",1,0,5,7,38,4,0,1,1,2,4,0,8,177.8,182.88,170,32,0,1,0,0,1,0,7,4,38,2,0,0,4,5,0,0,9,182.88,190.5,170,36,0,1,0,0
"Red",0,4,4,0,10,0,0,0,3,1,0,0,4,185.42,198.12,264,31,0,0,1,0,1,0,4,3,18,0,0,0,2,2,0,1,5,193.04,203.2,265,28,0,1,0,0
"Red",0,3,3,0,7,0,0,1,0,2,0,0,3,165.1,172.72,125,31,0,1,0,0,0,3,3,4,29,0,0,0,5,0,3,0,8,165.1,170.18,125,33,0,1,0,0
