"Winner","B_current_win_streak","R_Reach_cms","R_losses","B_current_lose_streak","R_Stance_Southpaw","B_Stance_Southpaw","R_Stance_Switch","R_win_by_Submission","B_win_by_Decision_Split","B_Stance_Switch","R_Stance_Open_Stance"
"Blue",0,180.34,4,1,0,0,0,1,0,0,0
"Blue",1,177.8,0,0,1,0,0,1,0,0,0
"Red",0,187.96,1,1,0,0,0,0,1,0,0
"Red",0,190.5,1,2,0,0,0,0,0,0,0
"Blue",0,205.74,0,1,0,0,0,1,0,0,0
"Blue",2,190.5,1,0,0,0,0,0,0,0,0
"Red",0,185.42,9,2,1,1,0,0,0,0,0
"Red",0,195.58,2,1,0,0,0,3,1,0,0
"Red",0,177.8,3,0,0,1,0,0,0,0,0
"Red",0,193.04,7,2,0,0,0,0,1,0,0
"Blue",0,182.88,4,2,0,0,0,1,1,0,0
"Blue",0,187.96,3,1,0,0,0,0,2,0,0
"Blue",1,182.88,4,0,0,1,0,0,0,0,0
"Red",0,182.88,1,0,0,0,0,0,0,0,0
"Blue",0,182.88,0,0,0,1,0,0,0,0,0
"Red",0,190.5,1,1,0,0,0,0,0,0,0
"Red",0,177.8,3,1,1,0,0,0,1,0,0
"Red",2,177.8,0,0,0,1,0,2,0,0,0
"Red",1,193.04,1,0,0,0,0,6,1,0,0
"Blue",2,203.2,6,0,1,1,0,4,0,0,0
"Red",4,200.66,3,0,0,0,0,0,1,0,0
"Red",0,157.48,2,1,0,0,0,2,1,0,0
"Blue",2,175.26,3,0,0,0,0,0,0,0,0
"Red",0,190.5,2,0,0,1,0,3,0,0,0
"Red",0,167.64,0,1,0,0,0,0,0,0,0
"Red",3,175.26,2,0,0,1,0,1,0,0,0
"Blue",0,165.1,2,1,0,0,0,0,0,0,0
"Blue",0,177.8,8,1,0,0,0,0,2,0,0
"Blue",1,187.96,2,0,1,0,0,0,0,0,0
"Red",1,193.04,5,0,0,1,0,0,0,0,0
"Red",1,193.04,4,0,0,1,0,3,1,0,0
"Blue",0,190.5,5,1,1,1,0,1,1,0,0
"Blue",0,177.8,5,0,0,1,0,3,0,0,0
"Red",0,187.96,9,1,0,0,0,10,0,0,0
"Red",0,177.8,5,2,1,1,0,2,3,0,0
"Blue",0,187.96,3,0,0,0,0,2,0,0,0
